tconst,primarytitle,startyear,runtimeminutes,genres,ordering,category,averagerating,numvotes,primaryname
tt0806047,Common Senses,2005,95.0,Drama,1,actor,6.9,26,James Azrael
tt0806066,Escape in Time,2006,95.0,Drama,1,actor,6.1,35,Gary Sommers
tt0806084,Head Space,2006,80.0,Comedy,1,actor,5.3,27,Don Argott
tt0806105,The Sunflowers,2005,98.0,Drama,1,actor,9.3,13,Qian Sun
tt0806147,Extreme Movie,2008,86.0,Comedy,1,actor,3.7,11110,Frankie Muniz
tt0806163,The Quietest Sound,2006,75.0,Drama,1,actress,8.4,27,Catherine E. Johnson
tt0806173,Save the Forest,2005,90.0,Comedy,1,actor,7.0,44,Rick Birnbaum
tt0806206,Water Lilies,2005,80.0,Drama,1,actress,6.8,21,Arielle Jacobs
tt0806679,Summer '04,2006,97.0,Drama,1,actress,6.4,797,Martina Gedeck
tt0806940,Bad Girls,2007,100.0,Comedy,1,actress,5.3,2145,Martha Higareda
tt0807000,About Crying,2006,80.0,Drama,1,actor,5.3,102,Alex Brendemühl
tt0807028,The Pool Boys,2009,107.0,Comedy,1,actor,4.6,2551,Matthew Lillard
tt0807702,Achados e Perdidos,2007,102.0,Crime,1,actor,5.9,202,Flavio Bauraqui
tt0807721,Jellyfish,2007,78.0,Drama,1,actress,7.0,2669,Sarah Adler
tt0807755,The Misanthrope,2001,85.0,Comedy,1,actor,8.3,6,Ali Reza
tt0807965,La vie secrète des gens heureux,2006,101.0,Drama,1,actor,6.4,289,Gilbert Sicotte
tt0808148,AmericanEast,2008,110.0,Drama,1,actor,6.3,318,Sayed Badreya
tt0808178,Boy in a Bathtub,2006,106.0,Drama,1,actress,5.7,36,Olja Hrustic
tt0808237,Drama/Mex,2006,93.0,Drama,1,actor,5.9,1392,Fernando Becerril
tt0808262,Falling Apart,2005,75.0,Horror,1,actor,6.5,8,Jay Northup
tt0808302,Hog Island,2006,120.0,Drama,1,actress,5.4,62,Arwen Anderson
tt0808303,Holla If You Hear Me,2006,90.0,Horror,1,actor,5.4,25,Artek
tt0808312,Idol,2006,85.0,Comedy,1,actress,5.8,97,Amber Alexander
tt0808407,One Afternoon in the City,2005,79.0,Comedy,1,actress,7.3,10,Kelly Maree Joyce
tt0808425,Pornorama,2007,94.0,Comedy,1,actor,5.3,715,Benno Fürmann
tt0808462,7 Years,2006,86.0,Drama,1,actress,6.1,284,Valérie Donzelli
tt0808518,The Uniform Motion of Folly,2006,96.0,Drama,1,actress,8.3,18,Rita Obermeyer
tt0808536,What I Want,2004,147.0,Drama,1,actor,9.2,42,Mike Boland
tt0808542,With You,2006,100.0,Horror,1,actor,5.4,44,Joseph P. O'Rourke
tt0809410,Atlas of Human Geography,2007,101.0,Drama,1,actress,5.3,107,Cuca Escribano
tt0809425,In the City of Sylvia,2007,84.0,Drama,1,actress,6.9,2472,Pilar López de Ayala
tt0810061,Pink Lemonade,2006,100.0,Comedy,1,actor,5.7,84,Kurt Finney
tt0810444,The Pumpkin Karver,2006,90.0,Horror,1,actor,3.3,1547,Michael Zara
tt0810454,Sister Sarah's Sky,2005,86.0,Comedy,1,actress,6.0,7,Sarah Rosenkrantz
tt0810779,Bound by Blood,2007,105.0,Action,1,actor,5.4,62,Chris Cones
tt0810786,Broken Promise,2006,87.0,Drama,1,actor,6.0,5,Merrill Capps
tt0810803,Closure,2007,94.0,Drama,1,actor,8.6,48,Shawn Vena
tt0810811,Costa Chica: Confession of an Exorcist,2006,82.0,Horror,1,actor,2.5,159,David Heavener
tt0810815,Cross the Line,2010,87.0,Action,1,actress,3.9,56,Tina Krause
tt0810880,Gospel Hill,2008,99.0,Drama,1,actress,5.5,953,Chloe Bailey
tt0810894,Heimat Fragments: The Women,2006,146.0,Drama,1,actress,6.7,100,Nicola Schössler
tt0810904,Human Achievement,2006,103.0,Drama,1,actor,8.3,17,John Anton
tt0810913,Jack and Jill,2011,91.0,Comedy,1,actor,3.3,83335,Adam Sandler
tt0810928,The Last Sin Eater,2007,117.0,Drama,1,actress,5.7,1896,Louise Fletcher
tt0810942,Limits to Ambition,2006,107.0,Drama,1,actor,5.4,29,Reiner Prochaska
tt0810945,Live!,2007,96.0,Drama,1,actress,5.8,5003,Eva Mendes
tt0810972,Mending Wall,2004,80.0,Drama,1,actor,7.9,13,David Fraioli
tt0810990,Nos amis les Terriens,2006,85.0,Sci-Fi,1,actress,5.3,243,Annelise Hesme
tt0811005,The Passage,2006,108.0,Mystery,1,actor,8.2,17,Mike Connors
tt0811054,Saturday,2006,75.0,Comedy,1,actor,7.3,15,Randall McFadden
tt0811063,Send in the Clown,2006,90.0,Comedy,1,actor,7.2,15,Matthew Sandager
tt0811082,Stalking Santa,2006,82.0,Comedy,1,actor,5.3,212,Chris Clark
tt0811094,Survival,2006,80.0,Horror,1,actor,3.7,229,Don Prentiss
tt0811128,Turn the River,2007,92.0,Drama,1,actress,5.8,1828,Famke Janssen
tt0811137,The Do-Deca-Pentathlon,2012,90.0,Comedy,1,actor,6.0,1778,Mark Kelly
tt0811163,The Yardsale,2006,90.0,Comedy,1,actor,7.2,41,Demetrius Navarro
tt0811793,Way of Life,2005,95.0,Drama,1,actor,6.3,15,Dennis Albanese
tt0812366,Pudor,2007,106.0,Drama,1,actress,5.9,357,María Florentina Antón
tt0813537,Military Intelligence and You!,2006,78.0,Comedy,1,actor,5.9,167,Patrick Muldoon
tt0813988,Abbie Girl Spy: Timepiece,2005,87.0,Family,1,actress,8.6,8,London Clark
tt0813992,American Flyer,2010,100.0,Adventure,1,actor,6.4,102,Douglas Spain
tt0814062,The Sky We Were Born Under,2009,100.0,Drama,1,actor,6.0,61,Dalton Vigh
tt0814072,Day on Fire,2006,91.0,Drama,1,actor,4.4,157,Richard Bright
tt0814077,Devil Girl,2007,83.0,Thriller,1,actress,3.8,201,Jessica Graham
tt0814100,The Final Curtain,2007,103.0,Horror,1,actor,3.0,362,Reggie Bannister
tt0814138,Hooray for Mr. Touchdown,2004,80.0,Comedy,1,actor,8.3,7,David Wilson Barnes
tt0814198,Love Life,2006,72.0,Romance,1,actor,5.2,227,Keith Bearden
tt0814314,Seven Pounds,2008,123.0,Drama,1,actor,7.6,299013,Will Smith
tt0814338,Stranger in the Doorway,2006,70.0,Thriller,1,actress,7.8,19,Alina Andrei
tt0814343,Séance,2006,88.0,Horror,1,actress,4.3,847,Bridget Shergalis
tt0814373,UnCivil Liberties,2006,110.0,Thriller,1,actress,6.0,90,Penny Perkins
tt0814380,Notte prima degli esami - Oggi,2007,102.0,Comedy,1,actor,5.2,2261,Giorgio Panariello
tt0814656,Poison Friends,2006,100.0,Drama,1,actor,6.5,522,Malik Zidi
tt0814659,Anna M.,2007,106.0,Drama,1,actress,6.7,836,Isabelle Carré
tt0814666,Bamako (The Court),2006,115.0,Drama,1,actress,6.7,1369,Aïssa Maïga
tt0814685,Frontier(s),2007,108.0,Horror,1,actress,6.2,26692,Karina Testa
tt0815161,Father Dad,2006,120.0,Drama,1,actress,8.8,26,Leila Velez
tt0815170,Counting Backwards,2007,89.0,Romance,1,actor,8.3,54,Benjamin Montague
tt0815230,Redrum,2007,88.0,Comedy,1,actor,4.1,342,Kenny Young
tt0815246,Taos,2008,89.0,Drama,1,actor,7.4,16,Frederick Aragon
tt0815877,Donald and Dot Clock Found Dead in Their Home,2004,83.0,Comedy,1,actor,5.2,14,Robert E. Beckwith
tt0816110,Underdogs,2006,87.0,Comedy,1,actor,8.5,21,Dennis Albanese
tt0816146,Cross Eyed,2006,96.0,Comedy,1,actor,7.8,29,Youssef Kerkour
tt0816219,Speechless,2006,70.0,Drama,1,actress,8.4,22,Debbie Fan
tt0816411,20 Something,2006,84.0,Comedy,1,actor,4.6,6,Jeremy Goren
tt0816478,Disorder,2006,103.0,Thriller,1,actor,5.4,764,Darren Kendrick
tt0816545,Kabluey,2007,86.0,Comedy,1,actor,6.5,4435,Scott Prendergast
tt0816600,Open Mic'rs,2006,108.0,Comedy,1,actor,7.0,44,Apollo Bacala
tt0816608,The Passenger,2006,116.0,Drama,1,actress,6.4,17,Ellen Arden
tt0816616,Poor Boy's Game,2007,104.0,Drama,1,actor,6.3,1358,Rossif Sutherland
tt0816631,Romeo and Juliet,2006,105.0,Drama,1,actress,4.7,289,Jeanne Moreau
tt0816635,Ruby Blue,2007,106.0,Drama,1,actor,6.8,228,Bob Hoskins
tt0816648,Shanghai Hotel,2011,110.0,Drama,1,actress,6.6,40,Eugenia Yuan
tt0816683,Troubled Waters,2006,95.0,Thriller,1,actress,5.1,613,Jennifer Beals
tt0817178,Gandhi Park,2007,105.0,Romance,1,actor,7.8,24,Dinesh Arora
tt0817225,Secret Sunshine,2007,142.0,Drama,1,actress,7.5,8124,Jeon Do-yeon
tt0817535,Luke's Father and the Sled,2006,78.0,Comedy,1,actor,5.0,25,Oliver Brooks
tt0817896,Dark Crimes,2006,93.0,Thriller,1,actress,7.2,17,Stacey Branscombe
tt0818098,Dreamkiller,2010,110.0,Thriller,1,actor,3.4,121,Dario Deak
tt0818133,Seasons of Life,2006,90.0,Drama,1,actress,6.5,20,Lilly Melgar
tt0818261,Fragments of Daniela,2006,72.0,Drama,1,actress,7.5,28,Cazzy Golomb
tt0818490,George Bush Goes to Heaven,2006,85.0,Drama,1,actor,7.2,67,John Ross Clark
tt0818534,This Is a Business,2006,103.0,Comedy,1,actor,7.6,22,Nathan Nolan
tt0818589,Fellowship Offerings,2004,81.0,Drama,1,actor,5.9,24,Predrag Momcilovic
tt0818610,Mortal Fools,2008,83.0,Comedy,1,actor,5.7,24,Lindsay Moss
tt0818620,The Sacrifice,2005,95.0,Horror,1,actor,5.0,32,Kevin Belval
tt0818663,Charm City,2006,125.0,Drama,1,actor,6.2,25,Aquil Oseitutu
tt0818701,Stupid Cupid,2006,96.0,Comedy,1,actress,6.2,11,Mimi Alain
tt0818739,Approaching Union Square,2006,80.0,Drama,1,actress,5.4,77,Katie Kreisler
tt0818874,Pretty Dead Things,2006,92.0,Horror,1,actor,5.8,134,Patrick Pitu
tt0818880,The Spiral Project,2006,95.0,Drama,1,actor,6.0,51,David Abed
tt0819118,Retribution,2006,75.0,Drama,1,actor,5.0,19,Al Burgo
tt0819359,Busgirl,2006,82.0,Drama,1,actress,7.3,15,Jessie Pridemore
tt0819386,Shamelove,2006,94.0,Drama,1,actress,8.3,28,Natalie Avital
tt0819704,Secrets of Fenville,2003,115.0,Mystery,1,actor,6.8,22,Casey Bartholomew
tt0819723,Islander,2006,100.0,Drama,1,actor,6.5,284,Thomas Hildreth
tt0819753,All That Is Hidden,2008,120.0,Horror,1,actor,5.3,20,Erez Bowers
tt0819794,My Mother Is a Belly Dancer,2006,104.0,Drama,1,actress,6.6,121,Kristal Tin
tt0819810,Traffic Signal,2007,130.0,Drama,1,actor,6.6,1634,Kunal Khemu
tt0819839,Ghost Train,2006,93.0,Horror,1,actress,4.9,863,Erika Sawajiri
tt0820037,The Blood Shed,2007,73.0,Horror,1,actress,4.9,299,Susan Adriensen
tt0820892,Hero Tomorrow,2007,93.0,Comedy,1,actor,6.9,38,Perren Hedderson
tt0820908,Juiskers II: The Sequel with No Prequel,2006,123.0,Comedy,1,actress,7.8,20,Christine Condreay
tt0820995,The Gaze,2006,83.0,Drama,1,actor,7.0,12,Hamid-Reza Danechvar
tt0820998,The Robert Cake,2002,93.0,Comedy,1,actor,6.3,18,Chris Frommeyer
tt0821012,The S1gnificance of Se7enteen,2002,77.0,Comedy,1,actress,7.9,338,Cindy Taylor
tt0821030,The Trouble with Anne,2006,82.0,Drama,1,actress,7.7,11,Elle Poindexter
tt0821470,The City of Violence,2006,92.0,Action,1,actor,6.6,4500,Seung-wan Ryu
tt0821554,Legit,2006,87.0,Drama,1,actor,3.6,69,Ray Andercheck
tt0821555,Prairie Rose,2006,91.0,Drama,1,actress,6.7,15,Elisa Ford
tt0822388,Home,2008,84.0,Drama,1,actress,5.3,195,Marcia Gay Harden
tt0822389,Kenny,2006,99.0,Comedy,1,actor,7.2,6961,Shane Jacobson
tt0822791,Blackout,2007,95.0,Drama,1,actor,5.9,583,Jeffrey Wright
tt0822811,God's Ears,2008,117.0,Drama,1,actress,7.9,79,Margot Farley
tt0822819,Kissing Cousins,2008,98.0,Comedy,1,actress,5.5,410,Rebecca Hazlewood
tt0822831,Man Maid,2008,86.0,Comedy,1,actor,4.4,210,Phillip Vaden
tt0822849,Rails & Ties,2007,101.0,Drama,1,actor,6.7,4130,Kevin Bacon
tt0823188,The Sex Movie,2006,84.0,Drama,1,actress,4.8,860,Michelle Mosley
tt0823451,Dus Kahaniyaan,2007,110.0,Drama,1,actor,5.7,1608,Arbaaz Khan
tt0823493,Dear Mr. Waldman,2006,90.0,Drama,1,actor,7.2,86,Rami Heuberger
tt0823645,Eddie Monroe,2006,100.0,Action,1,actor,7.4,91,Craig Weintraub
tt0823651,Room 314,2006,100.0,Drama,1,actress,5.8,108,Joelle Carter
tt0823690,Sex Farce,2006,91.0,Comedy,1,actress,6.4,7,Alix Korey
tt0824276,Three Girls,2007,83.0,Comedy,1,actor,5.8,21,Joachim Paul Assböck
tt0824279,Absence,2009,71.0,Thriller,1,actress,6.1,65,Margaret Laney
tt0824289,Begging Your Pardon,2006,104.0,Comedy,1,actress,7.5,8,Trisha Carman
tt0824298,Captain Ahab,2007,100.0,Adventure,1,actor,5.9,184,Denis Lavant
tt0824308,The Descendant,2007,95.0,Drama,1,actor,5.2,213,Philippe Chabot
tt0824316,Dor,2006,147.0,Drama,1,actress,8.0,5994,Ayesha Takia
tt0824375,Nishabd,2007,110.0,Drama,1,actor,5.4,1697,Amitabh Bachchan
tt0824412,That Day,2007,95.0,Drama,1,actor,6.4,124,Bruno Todeschini
tt0825241,Dry Season,2006,96.0,Drama,1,actor,6.9,898,Ali Barkai
tt0825282,The Long Falling,2011,105.0,Drama,1,actress,6.4,137,Yolande Moreau
tt0825342,Wages of Sin,2006,93.0,Horror,1,actor,2.7,302,Brandon Michael Anderson
tt0825454,Dan Jones' Career Is Over,2003,74.0,Comedy,1,actress,6.2,7,Sonya A. Avakian
tt0826558,Ibid,2008,89.0,Comedy,1,actor,4.0,163,Christian Campbell
tt0826600,Phoenix,2006,86.0,Drama,1,actor,5.6,403,Chad Bartley
tt0826611,Rain in the Mountains,2007,90.0,Comedy,1,actor,4.4,154,Dan Brunell
tt0826641,Tapioca,2009,94.0,Comedy,1,actor,5.2,81,Mike Houlihan
tt0826745,Desperate Escape,2007,90.0,Thriller,1,actress,3.9,119,Eleanor Drew
tt0826752,Strange Girls,2007,98.0,Thriller,1,actress,5.8,183,Angela Berliner
tt0827183,"Me, the Other",2006,78.0,Drama,1,actor,6.0,114,Raoul Bova
tt0827517,Reprise,2006,105.0,Drama,1,actor,7.3,11093,Anders Danielsen Lie
tt0827711,Hot Chicks,2006,100.0,Comedy,1,actor,6.4,49,Josh Lawson
tt0827724,You're Sexy When You're Sad,2005,112.0,Drama,1,actress,7.2,17,Inga Alsina
tt0827763,Blackwater Fever,2008,70.0,Drama,1,actor,6.8,74,Roeland Fernhout
tt0827786,Slip,2006,96.0,Thriller,1,actor,4.5,520,Donald Turner
tt0827790,Á Colombia,2006,100.0,Drama,1,actor,8.4,22,Terrence Bergeron
tt0828054,Madness,2006,96.0,Thriller,1,actor,4.8,96,Michael Rose
tt0828103,Taking Chances,2009,99.0,Comedy,1,actor,4.4,1395,Justin Long
tt0828159,Terror at Baxter U,2003,86.0,Horror,1,actress,2.5,129,Johanna Lixey
tt0828160,That Fall,2006,83.0,Drama,1,actress,8.0,20,Jeannie Bolet
tt0828393,Garden Party,2008,88.0,Drama,1,actor,5.5,3445,Erik Smith
tt0828445,Awaken,2005,95.0,Drama,1,actor,7.5,12,Carlo Aquino
tt0828461,Trust,2006,86.0,Drama,1,actor,4.5,53,E. Roger Mitchell
tt0829143,August Days,2006,93.0,Drama,1,actor,6.0,152,David Recha
tt0829157,Echoboom,2006,91.0,Comedy,1,actor,7.7,42,Justin Miner
tt0829296,Tapestry of Shadows,2006,100.0,Drama,1,actress,8.2,14,Cara Sevier
tt0829421,The American Poop Movie,2006,95.0,Comedy,1,actress,2.7,766,Kirsten Babich
tt0829427,The Flying Scissors,2009,92.0,Comedy,1,actor,7.5,64,Mason Pettit
tt0829432,"Me & You, Us, Forever",2008,92.0,Drama,1,actor,4.3,220,Michael Blain-Rozgay
tt0829434,Second Moon,2006,119.0,Drama,1,actor,6.9,15,Andre Ing
tt0829437,Thunder Over Reno,2008,93.0,Adventure,1,actor,7.8,342,Bobby Aronofsky
tt0829482,Superbad,2007,113.0,Comedy,1,actor,7.6,559719,Michael Cera
tt0830535,Disfigured,2008,96.0,Drama,1,actress,6.6,338,Deidra Edwards
tt0830538,The Seduction of Dr. Fugazzi,2009,96.0,Thriller,1,actress,2.8,468,October Kingsley
tt0830588,The Lucky Girl,2006,81.0,Drama,1,actor,7.2,7,Madden Page
tt0830632,Sixes and the One Eyed King,2006,98.0,Drama,1,actor,7.7,49,Robert Armstrong
tt0830681,Who's Your Monkey?,2007,87.0,Comedy,1,actor,5.4,411,Scott Grimes
tt0830829,Ofrenda desnuda,2006,152.0,Drama,1,actress,7.8,9,Diana Cabuto
tt0831275,Bigga Than Ben,2008,82.0,Drama,1,actor,6.2,1260,Ben Barnes
tt0831280,Waking Madison,2010,89.0,Drama,1,actress,5.5,1512,Sarah Roemer
tt0831341,Sinner,2007,88.0,Drama,1,actor,5.3,117,Nick Chinlund
tt0831374,The Utah Murder Project,2006,120.0,Thriller,1,actor,7.0,32,Oz Perkins
tt0831861,Peter,2000,80.0,Drama,1,actor,6.1,20,Doug Aamoth
tt0831904,Golden Oldies,2008,95.0,Comedy,1,actor,5.0,396,Paulo Betti
tt0832292,Cryptid,2006,98.0,Horror,1,actress,4.5,62,Lori Petty
tt0832347,Falling,2006,88.0,Drama,1,actress,5.8,296,Nina Proll
tt0832865,Torn Apart,2006,84.0,Drama,1,actor,4.8,207,Jean-François Boisvenue
tt0833422,"Aviva, My Love",2006,107.0,Drama,1,actress,7.1,480,Assi Levy
tt0833545,Things Behind the Sun,2006,111.0,Drama,1,actor,7.4,95,Assi Dayan
tt0833546,Three Mothers,2006,106.0,Drama,1,actress,6.6,127,Miri Mesika
tt0833548,Tied Hands,2006,87.0,Drama,1,actress,7.2,49,Gila Almagor
tt0833614,Signed in Blood,2006,93.0,Comedy,1,actress,4.8,23,Willow Atkinson
tt0833960,Gardens of the Night,2008,110.0,Drama,1,actress,6.8,4392,Gillian Jacobs
tt0834009,I Do & I Don't,2007,84.0,Comedy,1,actor,4.9,224,James Murtaugh
tt0834170,Autumn Ball,2007,123.0,Drama,1,actor,7.1,1996,Rain Tolk
tt0834541,Sherman's Way,2008,97.0,Comedy,1,actor,5.3,548,James Le Gros
tt0834888,The 23rd Psalm,2007,89.0,Drama,1,actor,8.1,49,Fredrick Burns
tt0834899,Say Goodnight,2008,85.0,Comedy,1,actor,4.5,178,Rob Benedict
tt0834904,Curse of Alcatraz,2007,100.0,Horror,1,actor,2.5,484,Alex A. Quinn
tt0834931,Measure for Measure,2006,80.0,Drama,1,actress,5.5,67,Josephine Rogers
tt0834942,Pocahauntus,2006,79.0,Horror,1,actor,4.8,121,Barry Ratcliffe
tt0834943,Victoriana,2007,78.0,Drama,1,actress,5.9,9,Carson Maness
tt0834952,Shelter,2008,101.0,Drama,1,actor,5.3,166,James Casey
tt0834961,Fashion Victim,2008,90.0,Thriller,1,actor,3.1,272,Jonathon Trent
tt0834965,Universal Remote,2007,78.0,Comedy,1,actor,3.4,254,D.C. Douglas
tt0835418,The Babymakers,2012,95.0,Comedy,1,actor,5.0,8664,Paul Schneider
tt0835419,Bacterium,2006,79.0,Horror,1,actress,4.1,289,Alison Whitney
tt0835457,Sunny & Share Love You,2007,102.0,Comedy,1,actress,7.7,74,Michele Mulroney
tt0835834,Time to Die,2007,104.0,Drama,1,actress,7.4,1092,Danuta Szaflarska
tt0836683,The Appeared,2007,120.0,Horror,1,actress,6.0,1631,Ruth Díaz
tt0836710,Suddenly,2006,96.0,Drama,1,actor,6.3,1416,Michael Nyqvist
tt0837791,The Devil's Chair,2007,91.0,Horror,1,actor,4.8,3056,Andrew Howard
tt0837794,Favorite Son,2008,90.0,Drama,1,actor,6.6,70,Pablo Schreiber
tt0837795,Frame of Mind,2009,88.0,Drama,1,actor,4.7,452,Carl T. Evans
tt0837796,House,2008,88.0,Horror,1,actor,4.5,5889,Reynaldo Rosales
tt0837806,Starrbooty,2007,85.0,Comedy,1,actor,5.1,343,RuPaul
tt0838233,A Thousand Years of Good Prayers,2007,83.0,Drama,1,actor,6.7,1108,Henry O
tt0838283,Step Brothers,2008,98.0,Comedy,1,actor,6.9,287762,Will Ferrell
tt0838288,The Whole Body and the Little Finger,2005,109.0,Drama,1,actor,4.0,8,Masaaki Akahori
tt0839741,Benny Bliss and the Disciples of Greatness,2009,94.0,Comedy,1,actor,6.5,105,Courtney Gains
tt0839742,Bhopal: A Prayer for Rain,2014,96.0,Drama,1,actress,7.2,2082,Lisa Dwan
tt0839773,Daisy Diamond,2007,94.0,Drama,1,actress,5.9,1341,Noomi Rapace
tt0839796,The Engagement: My Phamily BBQ 2,2006,87.0,Comedy,1,actor,5.5,63,Andy Gershenzon
tt0839838,Grand Junction,2006,85.0,Drama,1,actor,7.3,24,Michael Masini
tt0839856,How to Seduce Difficult Women,2009,94.0,Comedy,1,actor,4.4,286,Louis-Do de Lencquesaing
tt0839881,Last Seen at Angkor,2006,80.0,Thriller,1,actor,4.3,32,Thomas Lim
tt0839897,The Main Character,2005,98.0,Drama,1,actor,7.8,60,Chester Jones III
tt0839925,Night-Wolf,2005,86.0,Comedy,1,actor,7.8,29,Somerled Mackay
tt0839928,No Place Like Home,2006,90.0,Drama,1,actress,6.9,109,Susan O'Meara
tt0839990,The Story of Juan Bago,2006,83.0,Comedy,1,actress,6.6,27,Jennifer Abreu
tt0840034,Welcome Stranger,2006,85.0,Drama,1,actress,5.7,45,Suzanne Barr
tt0840296,Back Stab,2007,96.0,Action,1,actor,6.3,14,Lou Torres
tt0840348,Miyuki,2007,90.0,Horror,1,actor,5.7,45,Barclay Iversen
tt0840363,Racing Daylight,2007,83.0,Drama,1,actress,4.5,249,Melissa Leo
tt0840375,Shanghai Baby,2007,120.0,Drama,1,actress,4.4,190,Bai Ling
tt0840406,"War Eagle, Arkansas",2007,93.0,Drama,1,actor,6.3,288,Brian Dennehy
tt0841027,Magicians,2007,90.0,Comedy,1,actor,6.0,5747,Robert Webb
tt0841033,The Pink Conspiracy,2007,97.0,Comedy,1,actor,3.7,269,Bradley Snedeker
tt0841083,Friday Evening,2006,73.0,Drama,1,actress,6.1,142,Roya Nonahali
tt0841103,Fight Ring,2009,89.0,Action,1,actor,3.7,57,Sean Gallimore
tt0841175,Love for Sale,2006,90.0,Drama,1,actress,7.1,1790,Hermila Guedes
tt0841182,Valerie,2006,81.0,Drama,1,actress,6.9,259,Agata Buzek
tt0841993,Apartment 1303,2007,94.0,Horror,1,actress,4.7,1846,Noriko Nakagoshi
tt0842021,The Price of a Daughter,2003,84.0,Drama,1,director,7.2,7,Jane Munene
tt0842035,The Trade Off,2006,80.0,Drama,1,actress,5.7,13,Ttrinity D. Anthony
tt0843327,Boss,2006,151.0,Romance,1,actor,4.2,339,Nagarjuna Akkineni
tt0843383,Twilight Dancers,2006,105.0,Drama,1,actor,6.2,70,Tyron Perez
tt0843469,Batad,2006,90.0,Drama,1,actress,7.6,31,Gina Alajar
tt0843521,Illusion,2005,100.0,Drama,1,actor,7.9,61,Yul Servo
tt0843625,You Are the One,2006,115.0,Romance,1,actress,7.1,142,Toni Gonzaga
tt0843841,Buster,2008,73.0,Drama,1,actor,7.5,16,Cosmo Inserra
tt0843846,The Deserted,2006,86.0,Drama,1,actor,6.3,11,Adriano Aragon
tt0843850,Finishing the Game,2007,84.0,Comedy,1,actor,5.9,1852,Roger Fan
tt0843876,The Strip,2009,91.0,Comedy,1,actor,7.9,151,Dave Foley
tt0843995,The Dawn,2006,105.0,Drama,1,actor,7.2,30,Saleh Za'al
tt0844346,TV Virus,2007,104.0,Drama,1,actress,7.8,13,Rocio Alvear
tt0844358,When Is Tomorrow,2007,76.0,Comedy,1,actress,7.1,39,Angela Bettis
tt0844671,College,2008,94.0,Comedy,1,actor,4.5,12369,Drake Bell
tt0844872,The Little Things,2006,90.0,Drama,1,actress,8.4,28,Stephanie Bentley
tt0844902,The Trophy,2007,90.0,Drama,1,actor,7.8,6,Tim Fields
tt0845559,One,2000,100.0,Drama,1,actor,5.8,13,Bill Caco
tt0845968,Broke,2006,88.0,Comedy,1,actor,2.6,118,Josh Alletto
tt0845987,Desperation,2006,78.0,Thriller,1,actor,5.4,46,Lamont Copeland
tt0846015,I Love Miami,2006,95.0,Drama,1,actor,5.0,171,Juan Luis Galiardo
tt0846031,Manual,2006,80.0,Drama,1,actress,6.9,12,Savann Donovan
tt0846033,Kamasutra Nights,2008,140.0,Drama,1,actor,4.4,218,Sunny Malick
tt0846050,The Night Swim,2006,111.0,Drama,1,actor,7.5,7,Jeremy Asher
tt0846071,Quest,2006,116.0,Drama,1,actress,8.1,12,Mukta Barve
tt0846092,Sorority Sister Slaughter,2007,71.0,Horror,1,actress,2.0,185,Kira Madallo Sesay
tt0846318,Summer of the Flying Saucer,2008,86.0,Family,1,actor,5.3,64,Robert Sheehan
tt0847154,Angels of the Sun,2006,92.0,Drama,1,actor,7.1,1040,Antonio Calloni
tt0847167,The Girl in the Park,2007,110.0,Drama,1,actress,6.3,3850,Sigourney Weaver
tt0847183,That Special Summer,2007,90.0,Drama,1,actress,6.1,555,Mia Saarinen
tt0847199,The Time Is Now,2006,90.0,Drama,1,actor,5.7,9,Kenneth Brady
tt0847204,3 Américas,2007,98.0,Drama,1,actor,6.0,70,Gilberto Arribas
tt0847211,Don't Shoot the Pharmacist!,2008,79.0,Comedy,1,actor,7.0,63,Ben Bailey
tt0847212,Mother's Day Massacre,2007,77.0,Horror,1,actor,3.1,268,Adam Scarimbolo
tt0847214,All God's Children Can Dance,2008,85.0,Drama,1,actress,5.1,293,Joan Chen
tt0847219,Special Needs,2006,86.0,Comedy,1,actor,6.8,67,Isaak James
tt0847510,Phantom Love,2007,87.0,Drama,1,actress,6.2,220,Marina Shoif
tt0847556,Diwali,2005,70.0,Drama,1,actor,6.7,13,Gaurav Bhandari
tt0847743,Hidden Love,2007,100.0,Drama,1,actress,5.4,316,Isabelle Huppert
tt0847749,Nadine,2007,100.0,Drama,1,actress,6.3,287,Monic Hendrickx
tt0847830,Grow Your Own,2007,101.0,Comedy,1,actor,6.8,688,Benedict Wong
tt0847851,The Mannsfield 12,2007,105.0,Drama,1,actor,5.0,161,Aaron D. Spears
tt0847897,The Stone Angel,2007,115.0,Drama,1,actress,6.1,1783,Ellen Burstyn
tt0847901,Thy Neighbor,2008,123.0,Drama,1,actor,7.7,29,Jean-Hugues Anglade
tt0848551,KillerKiller,2007,76.0,Horror,1,actor,3.2,290,Richard Collins
tt0848585,Fate Twisted Simply,2006,96.0,Drama,1,actress,8.8,22,Kate Kuen
tt0848598,Nocturnia,2005,115.0,Drama,1,actor,7.5,8,Erix Antoine
tt0848613,Silent Resident,2007,96.0,Thriller,1,actress,5.2,168,Brigitte Hobmeier
tt0849454,The Monster's Mind,2006,74.0,Mystery,1,actor,7.6,17,Michael Allbright
tt0849458,The Northern Kingdom,2009,108.0,Drama,1,actress,5.1,82,Heidi Armbruster
tt0849466,El rey de los huevones,2006,96.0,Comedy,1,actor,5.1,420,Boris Quercia
tt0850247,Amsteroid,2018,98.0,Sci-Fi,1,actor,5.5,19,Mike Ancrile
tt0850307,Liberty Kid,2007,92.0,Drama,1,actor,6.3,178,Al Thompson
